Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL,DecisionTreeClassifier,0.0045218898653549555,0.6947074171058478,0.4888658941207559,False,No Diff
accuracy,DESKL,Exponential,0.009666209787954516,1.3196534860767062,0.18999434413600916,False,No Diff
accuracy,DESKL,KNORAE,0.021816092880754367,2.56460358557728,0.011830998468207054,True,Better
accuracy,DESKL,LogisticRegression,-0.0023010561960816744,-0.1589336230277608,0.8740449457126174,False,No Diff
accuracy,DESKL,METADES,0.00833024268322169,1.2912827343923252,0.19961257356458637,False,No Diff
accuracy,DESKL,MLA,0.013745867935176848,2.2220220819661622,0.02855845752106351,True,Better
accuracy,DESKL,RandomForestClassifier,0.0010211239216317836,0.18722373956172694,0.851868378787466,False,No Diff
accuracy,DESKL,SGDClassifier,0.03824961702813823,1.9406312830724521,0.055147450900815825,False,No Diff
accuracy,DESKL,StackingClassifier,-0.023918809965331134,-3.1748547302803347,0.0019984331357429884,True,Worse
accuracy,DESKL,VotingClassifier,-0.011257760219301916,-1.408440703801515,0.16213341955373986,False,No Diff
accuracy,DESKL,XGBClassifier,-0.019654922196242874,-2.5503892528027596,0.012292668209951984,True,Worse
accuracy,DecisionTreeClassifier,DESKL,-0.0045218898653549555,-0.6947074171058478,0.4888658941207559,False,No Diff
accuracy,DecisionTreeClassifier,Exponential,0.005144319922599561,0.591162393860521,0.5557589709088133,False,No Diff
accuracy,DecisionTreeClassifier,KNORAE,0.017294203015399412,1.8216020947853864,0.07153510493955284,False,No Diff
accuracy,DecisionTreeClassifier,LogisticRegression,-0.00682294606143663,-0.4691101394602631,0.6400223650617513,False,No Diff
accuracy,DecisionTreeClassifier,METADES,0.0038083528178667336,0.48245278180641005,0.6305493613756603,False,No Diff
accuracy,DecisionTreeClassifier,MLA,0.009223978069821892,1.320377853425946,0.18975338776244155,False,No Diff
accuracy,DecisionTreeClassifier,RandomForestClassifier,-0.003500765943723172,-0.5246671721141208,0.6009874715679866,False,No Diff
accuracy,DecisionTreeClassifier,SGDClassifier,0.03372772716278327,1.660507607973849,0.09997652986961637,False,No Diff
accuracy,DecisionTreeClassifier,StackingClassifier,-0.02844069983068609,-3.3678727942621256,0.0010801268405967992,True,Worse
accuracy,DecisionTreeClassifier,VotingClassifier,-0.01577965008465687,-1.8874549517071135,0.06202821717144922,False,No Diff
accuracy,DecisionTreeClassifier,XGBClassifier,-0.02417681206159783,-2.963346621703694,0.003811556694937705,True,Worse
accuracy,Exponential,DESKL,-0.009666209787954516,-1.3196534860767062,0.18999434413600916,False,No Diff
